SupplierCode	SystemName	BranchAlias1	BranchAlias2	BranchAlias3	BranchAlias4
101	موسسة عبدالله خالد الهبدان للتجارة	الهبدان	السلي/خالد	الهبدان احذيه	خالد الهبدان
102	الطريقي	الطريقي	السلي/الطريقي	الطريقى	
103	المنيف	المنيف			
104	المخملية	المخملية			
106	مؤسسة الشماسي	الشماسي	الشماسى	الشماسي	
107	مرساف	مرساف	مرساف		
108	الأصيل	الأصيل	الاصيل		
113	أمين ناجي	أمين ناجي	أمين ناجى		
115	شركة باوارث للملابس الجاهزة	باوارث			
119	بسمة الصغير	بسمة الصغير	بصمة الصغير		
124	بدور	بدور	دار بدور		
132	الشنيبر				
137	شركة حياكة نجاح التجارية	الحارثي	أنساج	الحارثي	
138	شركة عصام الاقتصادية	عصام	كيكو		
140	شركة عصام الاقتصادية	الحد الأعلى			
145	شركة نما العربية للالبسة -الرياض	نماء	نما	تراي	
147	شركة قصر المحضار	المحضار			
151	شركة ركن الحريبي التجارية	الحريبي 	الحريبي نسائي		
153	نستر				
155	الصنات للحقائب (الرياض)	الصنات			
156	بشائر				
158	شركة الأحذية العجيبة	الرشيدي	نبيل الرشيدي		
159	الدفة				
160	شركة ملبوسات الخليج	محسن	محسن العيسائي		
161	شركة الأحذية العجيبة / شنط	الرشيدي شنط			
163	القحطاني				
166	شركة ابناء سعيد احمدالدقيل للالعاب	الدقيل			
171	الشعلة				
176	شركة ركن التوفيق التجارية	ركن التوفيق	ركن توفيق	التوفيق	
178	شركة عجلان عبدالعزيز العجلان -دروش	دروش			
181	شركة ملبوسات الخليج -جومانا -الرياض	جومانا	جومانا		
182	شركة قمة الملبوسات المحدودة	قمةالملبوسات			
183	شركة اضواء المستقبل	طه	أضواء المستقبل		
191	مؤسسة محسن علي الحريبي التجارية	محسن رجالي	محسن الحريبي		
194	شركة كندة للتجارة والإستثمار	كنده	كندة		
201	شركة باوارث للملابس الجاهزة - راقي	باوارث			
202	شركة ملبوسات الخليج للتجارة	محسن			
203	شركة ملبوسات الخليج- جومانا	جومانا			
207	مؤسسة سامي بن بشر	سامي	م سامي		
208	مؤسسة عادل عيظه بن بشر	عادل	عادل بن بشر		
210	شركة ساما المتميزة للتجارة	فرع سامي	ساما	ساماء	ش ساما
212	مؤسسة صالح احمد بن بشر	صالح أحمد			
213	مؤسسة محمد صالح بن بشر	محمدصالح			
232	شركة العليمي بلازا	العليمي	العليمى		
238	شركة معارض المامون التجارية	المأمون	المامؤن	المامون	
248	شركة ملبوسات الخليج -هاواي	محسن رجالي	هاواي		
250	شركة روعة العالمية التجارية المحدود	المصباحي	روعة العالمية	روعة	
255	سامي داخلي				
263	أصالة				
266	الهراش				
294	الإمتياز				
271	شركة قمة الملبوسات المحدودة ـ جدة	اليافعي			
296	مؤسسة محمد صالح المهري للتجارة	المهري	محمدصالح	المهري شراب	
298	البرنس				
302	شركة نما العربية بلومنج (نسائي)	نماء	نما	ش نما	
306	سندس				
307	شركة الحريبي للتجارة - رجالي	الحريبي رجالي	الحريبي رجالي		
310	شركة الرائدة الحديثة التجارية	الرئدة	الرائدة	الرائدة الحديثة	
313	شركة نسيج الجورى التجارية /الرياض	الجوري	نسيج الجوري		
317	شركة عجلان بن عبد العزيز العجلان / مريول	عجلان			
318	شركة الحقائب العالمية المحدودة	العالمية شنط	الحقائب العالمية	الحقائب	
406	سربرايس				
414	شركة داخليات بتال	بتال			
418	فرع موسسة دغش القحطاني التجارية	HRM			
420	شركة نواعم الاطفال التجارية	نواعم الاطفال	بيبي توب	نواعم	
421	أسرار الحجاب				
422	شركة الإختيار واحد التجارية	الاختيار	الاختيار الاول		
437	زهور دبي				
438	شركة ايفا للتجارة	إيفا الخاصة	ايفاء		
439	مؤسسة نستر للتجارة	نستر			
441	مؤسسة ديلان الشرق	ديلان الشرق			
442	مؤسسة الملبوسات الذكية التجارية	الذكية			
443	مؤسسة عرض الرحب التجارية	الرحب	أميمة		
454	تنومة				
455	شركة رويال تكس للتجارة	رويال	رويال تكس		
461	شركة ألعاب بخش للتجارة	بخش	ألعاب بخش		
666	شركة اتش ار ام التجارية	اتش آر ام	أتش ارأم		
202	قمة الملبوسات				
